Valid	I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
Spam	Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
Valid	Nah I don't think he goes to usf, he lives around here though
Valid	Even my brother is not like to speak with me. They treat me like aids patent.
Valid	I HAVE A DATE ON SUNDAY WITH WILL!!
Valid	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
Spam	WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
Spam	Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
Valid	I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
Spam	SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
Spam	URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
Spam	XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
Valid	Oh k...i'm watching here:)
Valid	Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
Valid	Fine if thats the way u feel. Thats the way its gota b
Spam	England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+
Valid	Is that seriously how you spell his name?
Valid	I‘m going to try for 2 months ha ha only joking
Valid	So ü pay first lar... Then when is da stock comin...
Valid	Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
Valid	Ffffffffff. Alright no way I can meet up with you sooner?
Valid	Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
Valid	Lol your always so convincing.
Valid	Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
Valid	I'm back &amp; we're packing the car now, I'll let you know if there's room
Valid	Ahhh. Work. I vaguely remember that! What does it feel like? Lol
Valid	Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us
Valid	Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
Valid	K tell me anything about you.
Valid	For fear of fainting with the of all that housework you just did? Quick have a cuppa
Spam	Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
Valid	Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
Valid	Oops, I'll let you know when my roommate's done
Valid	I see the letter B on my car
Valid	Anything lor... U decide...
Valid	Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
Valid	Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
Valid	Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy
Spam	07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
Valid	WHO ARE YOU SEEING?
Valid	Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
Valid	No calls..messages..missed calls
Valid	Didn't you get hep b immunisation in nigeria.
Valid	Fair enough, anything going on?
Valid	Yeah hopefully, if tyler can't do it I could maybe ask around a bit
Valid	U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
Valid	What you thinked about me. First time you saw me in class.
Valid	A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;
Valid	K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
Valid	Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about "the cave". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.
Spam	SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
Valid	Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
Spam	Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! 
Valid	Sorry, I'll call later in meeting.
Valid	Tell where you reached
Valid	Yes..gauti and sehwag out of odi series.
Valid	Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
Valid	Ha ha ha good joke. Girls are situation seekers.
Valid	Its a part of checking IQ
Valid	Sorry my roommates took forever, it ok if I come by now?
Valid	Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
Spam	As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589
Valid	Today is "song dedicated day.." Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...
